stop_id,direction_id,min_start_time,max_end_time,mean_daily_num_vehicles,max_headway,mean_headway
750198,0,06:48:00,22:45:00,30.0,1800.0,1800.0
750198,1,,,0.0,,
750199,0,,,0.0,,
750199,1,06:47:00,23:48:00,30.0,1800.0,1800.0
750201,0,,,0.0,,
750201,1,06:48:00,23:48:00,30.0,1800.0,1800.0
750202,0,,,0.0,,
750202,1,06:50:00,23:50:00,30.0,1800.0,1800.0
750203,0,,,0.0,,
750203,1,06:50:00,23:50:00,30.0,1800.0,1800.0
750204,0,,,0.0,,
750204,1,06:51:00,23:50:00,30.0,1800.0,1800.0
750205,0,,,0.0,,
750205,1,06:51:00,23:51:00,30.0,1800.0,1800.0
750206,0,,,0.0,,
750206,1,06:52:00,23:51:00,30.0,1800.0,1800.0
750207,0,,,0.0,,
750207,1,06:53:00,23:52:00,30.0,1800.0,1800.0
750208,0,,,0.0,,
750208,1,06:53:00,23:52:00,47.0,1800.0,1190.0
750209,0,06:21:00,23:16:00,18.0,3600.0,3600.0
750209,1,06:43:00,23:33:00,108.0,1440.0,447.0
750210,0,06:22:00,23:17:00,18.0,3600.0,3600.0
750210,1,,,0.0,,
750211,0,06:27:00,23:21:00,18.0,3600.0,3600.0
750211,1,,,0.0,,
750212,0,06:28:00,23:21:00,18.0,3600.0,3600.0
750212,1,,,0.0,,
750213,0,06:32:00,23:25:00,18.0,3600.0,3600.0
750213,1,,,0.0,,
750214,0,06:32:00,23:25:00,18.0,3600.0,3600.0
750214,1,,,0.0,,
750215,0,06:33:00,23:26:00,18.0,3600.0,3600.0
750215,1,,,0.0,,
750216,0,06:40:00,23:33:00,18.0,3600.0,3600.0
750216,1,,,0.0,,
750217,0,06:41:00,23:33:00,18.0,3600.0,3600.0
750217,1,,,0.0,,
750218,0,06:42:00,23:34:00,18.0,3600.0,3600.0
750218,1,,,0.0,,
750219,0,06:44:00,23:36:00,18.0,3600.0,3600.0
750219,1,07:54:00,23:54:00,17.0,3600.0,3600.0
750220,0,06:45:00,23:37:00,18.0,3600.0,3600.0
750220,1,,,0.0,,
750221,0,06:48:00,23:40:00,71.0,1080.0,714.0
750221,1,06:54:00,23:50:00,68.0,1620.0,747.0
750222,0,06:51:00,23:43:00,18.0,3600.0,3600.0
750222,1,,,0.0,,
750223,0,06:52:00,23:44:00,18.0,3600.0,3600.0
750223,1,,,0.0,,
750226,0,06:34:00,23:49:00,131.0,1140.0,393.0
750226,1,,,0.0,,
750227,0,,,0.0,,
750227,1,07:45:00,23:45:00,17.0,3600.0,3600.0
750228,0,,,0.0,,
750228,1,07:46:00,23:46:00,17.0,3600.0,3600.0
750229,0,,,0.0,,
750229,1,07:50:00,23:50:00,17.0,3600.0,3600.0
750230,0,,,0.0,,
750230,1,07:52:00,23:52:00,17.0,3600.0,3600.0
750231,0,,,0.0,,
750231,1,07:56:00,23:56:00,17.0,3600.0,3600.0
750232,0,,,0.0,,
750232,1,07:57:00,23:57:00,17.0,3600.0,3600.0
750233,0,,,0.0,,
750233,1,07:59:00,23:59:00,17.0,3600.0,3600.0
750234,0,,,0.0,,
750234,1,07:07:00,24:06:00,18.0,3600.0,3600.0
750235,0,,,0.0,,
750235,1,07:11:00,24:09:00,18.0,3600.0,3600.0
750236,0,,,0.0,,
750236,1,07:14:00,24:10:00,18.0,3600.0,3600.0
